Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
27,No,Travel_Rarely,608,Research & Development,1,2,Life Sciences,1,15,3,Female,68,3,3,Manufacturing Director,1,Married,7412,6009,1,Y,No,11,3,4,80,0,9,3,3,9,7,0,7
34,No,Travel_Rarely,258,Sales,21,4,Life Sciences,1,16,4,Male,74,4,2,Sales Executive,4,Single,5337,19921,1,Y,No,12,3,4,80,0,10,3,3,10,7,5,7
25,No,Travel_Rarely,959,Sales,28,3,Life Sciences,1,17,1,Male,41,2,2,Sales Executive,3,Married,8639,24835,2,Y,No,18,3,4,80,0,6,3,3,2,2,2,2
51,No,Travel_Rarely,632,Sales,21,4,Marketing,1,18,3,Male,71,3,2,Sales Executive,4,Single,5441,8423,0,Y,Yes,22,4,4,80,0,11,2,1,10,7,1,0
35,No,Travel_Frequently,944,Sales,1,3,Marketing,1,19,3,Female,92,3,3,Sales Executive,3,Single,8789,9096,1,Y,No,14,3,1,80,0,10,3,4,10,7,0,8
50,No,Travel_Rarely,1207,Research & Development,28,1,Medical,1,20,4,Male,74,4,1,Laboratory Technician,3,Married,3221,3297,1,Y,Yes,11,3,3,80,3,20,3,3,20,8,3,8
39,No,Travel_Frequently,711,Research & Development,4,3,Medical,1,21,1,Female,81,3,2,Manufacturing Director,3,Single,5042,3140,0,Y,No,13,3,4,80,0,10,2,1,9,2,3,8
33,No,Travel_Frequently,1303,Research & Development,7,2,Life Sciences,1,22,4,Male,36,3,2,Healthcare Representative,3,Divorced,5968,18079,1,Y,No,20,4,3,80,3,9,2,3,9,7,2,8
29,No,Travel_Rarely,468,Research & Development,28,4,Medical,1,23,4,Female,73,2,1,Research Scientist,1,Single,3785,8489,1,Y,No,14,3,2,80,0,5,3,1,5,4,0,4
35,No,Travel_Frequently,1199,Research & Development,18,4,Life Sciences,1,24,3,Male,80,3,2,Healthcare Representative,3,Married,5689,24594,1,Y,Yes,14,3,4,80,2,10,2,4,10,2,0,2
50,No,Travel_Rarely,854,Sales,1,4,Medical,1,25,4,Female,68,3,5,Manager,4,Divorced,19517,24118,3,Y,No,11,3,3,80,1,32,3,2,7,0,0,6
35,No,Travel_Rarely,607,Research & Development,9,3,Life Sciences,1,26,4,Female,66,2,3,Manufacturing Director,3,Married,10685,23457,1,Y,Yes,20,4,2,80,1,17,2,3,17,14,5,15
42,No,Travel_Rarely,1396,Research & Development,6,3,Medical,1,27,3,Male,83,3,3,Research Director,1,Married,13348,14842,9,Y,No,13,3,2,80,1,18,3,4,13,7,5,7
27,No,Travel_Rarely,1167,Research & Development,4,2,Life Sciences,1,28,1,Male,76,3,1,Research Scientist,3,Divorced,2517,3208,1,Y,No,11,3,2,80,3,5,2,3,5,3,0,3
35,No,Travel_Rarely,817,Research & Development,1,3,Medical,1,29,4,Female,60,2,2,Laboratory Technician,4,Married,5363,10846,0,Y,No,12,3,2,80,1,10,0,3,9,7,0,0
32,No,Travel_Frequently,967,Sales,8,3,Marketing,1,30,2,Female,43,3,3,Sales Executive,4,Single,8998,15589,1,Y,No,14,3,4,80,0,9,2,3,9,8,3,7
29,No,Travel_Rarely,352,Human Resources,6,1,Medical,1,31,4,Male,87,2,1,Human Resources,2,Married,2804,15434,1,Y,No,11,3,4,80,0,1,3,3,1,0,0,0
36,No,Travel_Rarely,557,Sales,3,3,Medical,1,32,1,Female,94,2,3,Sales Executive,4,Married,7644,12695,0,Y,No,19,3,3,80,2,10,2,3,9,7,3,4
46,No,Travel_Rarely,1402,Sales,2,3,Marketing,1,33,3,Female,69,3,4,Manager,1,Married,17048,24097,8,Y,No,23,4,1,80,0,28,2,3,26,15,15,9
40,No,Travel_Rarely,750,Research & Development,12,3,Life Sciences,1,34,2,Female,47,3,2,Healthcare Representative,1,Divorced,4448,10748,2,Y,No,12,3,2,80,1,15,3,3,7,4,7,7
32,No,Travel_Rarely,646,Research & Development,9,4,Life Sciences,1,35,1,Female,92,3,2,Research Scientist,4,Married,6322,18089,1,Y,Yes,12,3,4,80,1,6,2,2,6,4,0,5
37,No,Non-Travel,728,Research & Development,1,4,Medical,1,36,1,Female,80,3,3,Research Director,4,Divorced,13603,11677,2,Y,Yes,18,3,1,80,2,15,2,3,5,2,0,2
29,No,Travel_Frequently,806,Research & Development,1,4,Life Sciences,1,37,2,Male,76,1,1,Research Scientist,4,Divorced,2720,18959,1,Y,No,18,3,4,80,1,10,5,3,10,7,2,8
42,No,Travel_Rarely,544,Human Resources,2,1,Technical Degree,1,38,3,Male,52,3,1,Human Resources,3,Divorced,2696,24017,0,Y,Yes,11,3,3,80,1,4,5,3,3,2,1,0
20,No,Travel_Rarely,727,Sales,9,1,Life Sciences,1,39,4,Male,54,3,1,Sales Representative,1,Single,2728,21082,1,Y,No,11,3,1,80,0,2,3,3,2,2,0,2
32,No,Travel_Rarely,128,Research & Development,2,1,Technical Degree,1,40,4,Male,84,2,2,Laboratory Technician,1,Single,2176,19737,4,Y,No,13,3,4,80,0,9,5,3,6,2,0,4
52,No,Travel_Rarely,1325,Research & Development,11,4,Life Sciences,1,41,4,Female,82,3,2,Laboratory Technician,3,Married,3149,21821,8,Y,No,20,4,2,80,1,9,3,3,5,2,1,4
28,No,Travel_Rarely,1179,Research & Development,19,4,Medical,1,42,4,Male,78,2,1,Laboratory Technician,1,Married,3196,12449,1,Y,No,12,3,3,80,3,6,2,3,6,5,3,3
32,No,Travel_Frequently,1311,Research & Development,7,3,Life Sciences,1,43,2,Male,100,4,1,Laboratory Technician,2,Married,2794,26062,1,Y,No,20,4,3,80,0,5,3,1,5,1,0,3
39,No,Travel_Rarely,867,Research & Development,9,2,Medical,1,44,1,Male,87,3,2,Manufacturing Director,1,Married,5151,12315,1,Y,No,25,4,4,80,1,10,3,3,10,0,7,9
29,No,Travel_Rarely,694,Research & Development,1,3,Life Sciences,1,45,4,Female,87,2,4,Research Director,4,Divorced,16124,3423,3,Y,No,14,3,2,80,2,9,2,2,7,7,1,7
50,No,Non-Travel,881,Research & Development,2,4,Life Sciences,1,46,1,Male,98,3,4,Manager,1,Divorced,17924,4544,1,Y,No,11,3,4,80,1,31,3,3,31,6,14,7
37,No,Travel_Rarely,674,Research & Development,13,3,Medical,1,47,1,Male,47,3,2,Research Scientist,4,Married,4285,3031,1,Y,No,17,3,1,80,0,10,2,3,10,8,3,7
40,No,Travel_Frequently,791,Research & Development,2,2,Medical,1,48,3,Female,38,4,2,Healthcare Representative,2,Married,4244,9931,1,Y,No,24,4,4,80,1,8,2,3,8,7,3,7
38,No,Travel_Rarely,343,Research & Development,15,2,Life Sciences,1,49,3,Male,92,2,3,Research Director,4,Divorced,11510,15682,0,Y,Yes,14,3,2,80,1,12,3,3,11,10,2,9
33,No,Travel_Rarely,461,Research & Development,13,1,Life Sciences,1,50,2,Female,53,3,1,Research Scientist,4,Single,3452,17241,3,Y,No,18,3,1,80,0,5,4,3,3,2,0,2
49,No,Travel_Frequently,636,Research & Development,10,4,Life Sciences,1,51,3,Female,35,3,5,Research Director,1,Single,18665,25594,9,Y,Yes,11,3,4,80,0,22,4,3,3,2,1,2
34,No,Travel_Rarely,479,Research & Development,7,4,Medical,1,52,1,Male,35,3,1,Research Scientist,4,Single,2972,22061,1,Y,No,13,3,3,80,0,1,4,1,1,0,0,0
45,No,Travel_Rarely,193,Research & Development,6,4,Other,1,53,4,Male,52,3,3,Research Director,1,Married,13245,15067,4,Y,Yes,14,3,2,80,0,17,3,4,0,0,0,0
35,No,Travel_Rarely,670,Research & Development,10,4,Medical,1,54,1,Female,51,3,2,Healthcare Representative,3,Single,6142,4223,3,Y,Yes,16,3,3,80,0,10,4,3,5,2,0,4
36,No,Travel_Rarely,1383,Research & Development,10,3,Life Sciences,1,55,4,Male,90,3,3,Healthcare Representative,1,Married,8321,25949,7,Y,Yes,13,3,4,80,1,15,1,3,12,8,5,7
32,No,Travel_Frequently,379,Sales,5,2,Life Sciences,1,56,2,Male,48,3,2,Sales Executive,2,Married,6524,8891,1,Y,No,14,3,4,80,1,10,3,3,10,8,5,3
29,No,Travel_Rarely,1329,Research & Development,7,3,Life Sciences,1,57,3,Male,82,3,2,Healthcare Representative,4,Divorced,6623,4204,1,Y,Yes,11,3,2,80,2,6,2,3,6,0,1,0
35,No,Travel_Rarely,1142,Research & Development,23,4,Medical,1,58,3,Female,30,3,1,Laboratory Technician,1,Married,4014,16002,3,Y,Yes,15,3,3,80,1,4,3,3,2,2,2,2
37,No,Non-Travel,142,Sales,9,4,Medical,1,59,1,Male,69,3,3,Sales Executive,2,Divorced,8834,24666,1,Y,No,13,3,4,80,1,9,6,3,9,5,7,7
27,No,Travel_Rarely,1134,Research & Development,16,4,Technical Degree,1,60,3,Female,37,3,1,Laboratory Technician,2,Married,2811,12086,9,Y,No,14,3,2,80,1,4,2,3,2,2,2,2
23,No,Travel_Rarely,310,Research & Development,10,1,Medical,1,61,1,Male,79,4,1,Research Scientist,3,Single,3505,19630,1,Y,No,18,3,4,80,0,2,3,3,2,2,0,2
18,No,Non-Travel,287,Research & Development,5,2,Life Sciences,1,62,2,Male,73,3,1,Research Scientist,4,Single,1051,13493,1,Y,No,15,3,4,80,0,0,2,3,0,0,0,0
44,No,Travel_Rarely,661,Research & Development,9,2,Life Sciences,1,63,2,Male,61,3,1,Research Scientist,1,Married,2559,7508,1,Y,Yes,13,3,4,80,0,8,0,3,8,7,7,1
39,No,Travel_Rarely,1462,Sales,6,3,Medical,1,64,4,Male,38,4,3,Sales Executive,3,Married,8237,4658,2,Y,No,11,3,1,80,1,11,3,3,7,6,7,6
33,No,Travel_Rarely,589,Research & Development,28,4,Life Sciences,1,65,2,Male,79,3,2,Laboratory Technician,3,Married,5207,22949,1,Y,Yes,12,3,2,80,1,15,3,3,15,14,5,7
29,No,Travel_Rarely,441,Research & Development,8,1,Other,1,66,3,Female,39,1,2,Healthcare Representative,1,Married,9715,7288,3,Y,No,13,3,3,80,1,9,3,3,7,7,0,7
37,No,Travel_Rarely,161,Research & Development,10,3,Life Sciences,1,67,3,Female,42,4,3,Research Director,4,Married,13744,15471,1,Y,Yes,25,4,1,80,1,16,2,3,16,11,6,8
25,No,Travel_Rarely,977,Research & Development,2,1,Other,1,68,4,Male,57,3,1,Laboratory Technician,3,Divorced,3977,7298,6,Y,Yes,19,3,3,80,1,7,2,2,2,2,0,2
55,No,Travel_Rarely,1311,Research & Development,2,3,Life Sciences,1,69,3,Female,97,3,4,Manager,4,Single,16659,23258,2,Y,Yes,13,3,3,80,0,30,2,3,5,4,1,2
37,No,Travel_Rarely,446,Research & Development,1,4,Life Sciences,1,70,2,Female,65,3,2,Manufacturing Director,2,Married,6447,15701,6,Y,No,12,3,2,80,1,8,2,2,6,5,4,3
46,No,Travel_Frequently,638,Research & Development,1,3,Medical,1,71,3,Male,40,2,3,Healthcare Representative,1,Married,10673,3142,2,Y,Yes,13,3,3,80,1,21,5,2,10,9,9,5
31,No,Travel_Rarely,1232,Research & Development,7,4,Medical,1,72,3,Female,39,3,3,Manufacturing Director,4,Single,7143,25713,1,Y,Yes,14,3,3,80,0,11,2,2,11,9,4,10
32,No,Non-Travel,953,Research & Development,5,4,Technical Degree,1,73,2,Male,65,3,1,Research Scientist,2,Single,2718,17674,2,Y,No,14,3,2,80,0,12,3,3,7,7,0,7
22,No,Travel_Rarely,1230,Research & Development,1,2,Life Sciences,1,74,4,Male,33,2,2,Manufacturing Director,4,Married,4775,19146,6,Y,No,22,4,1,80,2,4,2,1,2,2,2,2
48,No,Travel_Rarely,1469,Research & Development,20,4,Medical,1,75,4,Male,51,3,1,Research Scientist,3,Married,2259,5543,4,Y,No,17,3,1,80,2,13,2,2,0,0,0,0
30,No,Non-Travel,1116,Research & Development,2,3,Medical,1,76,3,Female,49,3,1,Laboratory Technician,4,Single,2564,7181,0,Y,No,14,3,3,80,0,12,2,2,11,7,6,7
29,No,Travel_Rarely,942,Research & Development,15,1,Life Sciences,1,77,2,Female,69,1,1,Research Scientist,4,Married,2168,26933,0,Y,Yes,18,3,1,80,1,6,2,2,5,4,1,3
53,No,Travel_Rarely,238,Sales,1,1,Medical,1,78,4,Female,34,3,2,Sales Executive,1,Single,8381,7507,7,Y,No,20,4,4,80,0,18,2,4,14,7,8,10
40,No,Travel_Rarely,616,Research & Development,2,2,Life Sciences,1,79,3,Female,99,3,1,Laboratory Technician,1,Married,3377,25605,4,Y,No,17,3,4,80,1,7,5,2,4,3,0,2
31,No,Travel_Rarely,828,Sales,2,1,Life Sciences,1,80,2,Male,77,3,2,Sales Executive,4,Single,6582,8346,4,Y,Yes,13,3,3,80,0,10,2,4,6,5,0,5
38,No,Travel_Rarely,1495,Research & Development,4,2,Medical,1,81,4,Female,87,3,1,Laboratory Technician,3,Married,3306,26176,7,Y,No,19,3,4,80,1,7,5,2,0,0,0,0
52,No,Non-Travel,771,Sales,2,4,Life Sciences,1,82,1,Male,79,2,5,Manager,3,Single,19068,21030,1,Y,Yes,18,3,4,80,0,33,2,4,33,7,15,12
38,No,Travel_Frequently,888,Human Resources,10,4,Human Resources,1,83,3,Male,71,3,2,Human Resources,3,Married,6077,14814,3,Y,No,11,3,3,80,0,10,2,3,6,3,1,2
43,No,Travel_Frequently,957,Research & Development,28,3,Medical,1,84,2,Female,72,4,1,Research Scientist,3,Single,4739,16090,4,Y,No,12,3,4,80,0,18,2,3,3,2,1,2
34,No,Travel_Rarely,1153,Research & Development,1,2,Medical,1,85,1,Male,94,3,2,Manufacturing Director,2,Married,4325,17736,1,Y,No,15,3,3,80,0,5,2,3,5,2,1,3
30,No,Travel_Frequently,1312,Research & Development,23,3,Life Sciences,1,86,1,Male,96,1,1,Research Scientist,3,Divorced,2613,22310,1,Y,No,25,4,3,80,3,10,2,2,10,7,0,9
46,No,Travel_Rarely,705,Sales,2,4,Marketing,1,87,2,Female,83,3,5,Manager,1,Single,18947,22822,3,Y,No,12,3,4,80,0,22,2,2,2,2,2,1
36,No,Travel_Rarely,1174,Sales,3,4,Marketing,1,88,1,Female,99,3,2,Sales Executive,2,Single,9278,20763,3,Y,Yes,16,3,4,80,0,15,3,3,5,4,0,1
23,No,Travel_Rarely,977,Research & Development,10,3,Technical Degree,1,89,4,Male,45,4,1,Research Scientist,3,Married,2073,12826,2,Y,No,16,3,4,80,1,4,2,3,2,2,2,2
31,No,Travel_Rarely,1082,Research & Development,1,4,Medical,1,90,3,Male,87,3,1,Research Scientist,2,Single,2501,18775,1,Y,No,17,3,2,80,0,1,4,3,1,1,1,0
50,No,Non-Travel,145,Sales,1,3,Life Sciences,1,91,4,Female,95,3,2,Sales Executive,3,Married,6347,24920,0,Y,No,12,3,1,80,1,19,3,3,18,7,0,13
36,No,Travel_Rarely,311,Research & Development,7,3,Life Sciences,1,92,1,Male,77,3,1,Laboratory Technician,2,Single,2013,10950,2,Y,No,11,3,3,80,0,15,4,3,4,3,1,3
31,No,Travel_Frequently,798,Research & Development,7,2,Life Sciences,1,93,3,Female,48,2,3,Manufacturing Director,3,Married,8943,14034,1,Y,No,24,4,1,80,1,10,2,3,10,9,8,9
36,No,Non-Travel,894,Research & Development,1,4,Medical,1,94,4,Female,33,2,2,Manufacturing Director,3,Married,4374,15411,0,Y,No,15,3,3,80,0,4,6,3,3,2,1,2
44,No,Travel_Rarely,1448,Sales,28,3,Medical,1,95,4,Female,53,4,4,Sales Executive,4,Married,13320,11737,3,Y,Yes,18,3,3,80,1,23,2,3,12,11,11,11
24,No,Travel_Rarely,1353,Sales,3,2,Other,1,96,1,Female,33,3,2,Sales Executive,3,Married,4999,17519,0,Y,No,21,4,1,80,1,4,2,2,3,2,0,2
53,No,Travel_Rarely,661,Sales,7,2,Marketing,1,97,1,Female,78,2,3,Sales Executive,4,Married,10934,20715,7,Y,Yes,18,3,4,80,1,35,3,3,5,2,0,4
39,No,Non-Travel,792,Research & Development,1,3,Life Sciences,1,98,4,Male,77,3,2,Laboratory Technician,4,Married,6472,8989,1,Y,Yes,15,3,4,80,1,9,2,3,9,8,5,8
23,No,Travel_Rarely,885,Research & Development,4,3,Medical,1,99,1,Male,58,4,1,Research Scientist,1,Married,2819,8544,2,Y,No,16,3,1,80,1,5,3,4,3,2,0,2
34,No,Travel_Rarely,1111,Sales,8,2,Life Sciences,1,100,3,Female,93,3,2,Sales Executive,1,Married,6500,13305,5,Y,No,17,3,2,80,1,6,1,3,3,2,1,2
39,No,Travel_Rarely,722,Sales,24,1,Marketing,1,101,2,Female,60,2,4,Sales Executive,4,Married,12031,8828,0,Y,No,11,3,1,80,1,21,2,2,20,9,9,6
33,No,Travel_Frequently,1296,Research & Development,6,3,Life Sciences,1,102,3,Male,30,3,2,Healthcare Representative,4,Divorced,7725,5335,3,Y,No,23,4,3,80,1,15,2,1,13,11,4,7
40,No,Travel_Rarely,1308,Research & Development,14,3,Medical,1,103,3,Male,44,2,5,Research Director,3,Single,19626,17544,1,Y,No,14,3,1,80,0,21,2,4,20,7,4,9
41,No,Travel_Rarely,548,Research & Development,9,4,Life Sciences,1,104,3,Male,94,3,1,Laboratory Technician,1,Divorced,2289,20520,1,Y,No,20,4,2,80,2,5,2,3,5,3,0,4
40,No,Travel_Rarely,555,Research & Development,2,3,Medical,1,105,2,Female,78,2,2,Laboratory Technician,3,Married,3448,13436,6,Y,No,22,4,2,80,1,20,3,3,1,0,0,0
34,No,Travel_Rarely,1303,Research & Development,2,4,Life Sciences,1,106,4,Male,62,2,1,Research Scientist,3,Divorced,2768,8416,3,Y,No,12,3,3,80,1,14,3,3,7,3,5,7
26,No,Travel_Frequently,921,Research & Development,1,1,Medical,1,107,1,Female,66,2,1,Research Scientist,3,Divorced,2007,25265,1,Y,No,13,3,3,80,2,5,5,3,5,3,1,3
36,No,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,1,108,3,Female,59,3,3,Healthcare Representative,3,Divorced,10096,8202,1,Y,No,13,3,2,80,3,17,2,3,17,14,12,8
55,No,Travel_Rarely,189,Human Resources,26,4,Human Resources,1,109,3,Male,71,4,5,Manager,2,Married,19636,25811,4,Y,Yes,18,3,1,80,1,35,0,3,10,9,1,4
28,No,Travel_Rarely,895,Research & Development,15,2,Life Sciences,1,110,1,Male,50,3,1,Laboratory Technician,3,Divorced,2207,22482,1,Y,No,16,3,4,80,1,4,5,2,4,2,2,2
30,No,Travel_Rarely,1082,Sales,12,3,Technical Degree,1,111,2,Female,83,3,2,Sales Executive,3,Single,6577,19558,0,Y,No,11,3,2,80,0,6,6,3,5,4,4,4
42,No,Travel_Rarely,622,Research & Development,2,4,Life Sciences,1,112,3,Female,81,3,2,Healthcare Representative,4,Married,4089,5718,1,Y,No,13,3,2,80,2,10,4,3,10,2,2,2
33,No,Travel_Frequently,970,Sales,7,3,Life Sciences,1,113,4,Female,30,3,2,Sales Executive,2,Married,4302,13401,0,Y,No,17,3,3,80,1,4,3,3,3,2,0,2
38,No,Travel_Rarely,437,Sales,16,3,Life Sciences,1,114,2,Female,90,3,2,Sales Executive,2,Single,4198,16379,2,Y,No,12,3,2,80,0,8,5,4,3,2,1,2
24,No,Non-Travel,1269,Research & Development,4,1,Life Sciences,1,115,1,Male,46,2,1,Laboratory Technician,4,Married,3162,10778,0,Y,No,17,3,4,80,0,6,2,2,5,2,3,4
41,No,Non-Travel,267,Sales,10,2,Life Sciences,1,116,4,Male,56,3,2,Sales Executive,4,Single,6230,13430,7,Y,No,14,3,4,80,0,16,3,3,14,3,1,10
27,No,Travel_Frequently,472,Research & Development,1,1,Technical Degree,1,117,3,Male,60,2,2,Manufacturing Director,1,Married,4298,9679,5,Y,No,19,3,3,80,1,6,1,3,2,2,2,0
45,No,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,1,118,2,Male,59,3,3,Research Scientist,1,Divorced,9724,18787,2,Y,No,17,3,3,80,1,25,2,3,1,0,0,0
19,No,Travel_Rarely,1181,Research & Development,3,1,Medical,1,119,2,Female,79,3,1,Laboratory Technician,2,Single,1483,16102,1,Y,No,14,3,4,80,0,1,3,3,1,0,0,0
40,No,Travel_Rarely,898,Human Resources,6,2,Medical,1,120,3,Male,38,3,4,Manager,4,Single,16437,17381,1,Y,Yes,21,4,4,80,0,21,2,3,21,7,7,7
40,No,Travel_Rarely,1194,Research & Development,2,4,Medical,1,121,3,Female,98,3,1,Research Scientist,3,Married,2001,12549,2,Y,No,14,3,2,80,3,20,2,3,5,3,0,2
59,No,Travel_Frequently,1225,Sales,1,1,Life Sciences,1,122,1,Female,57,2,2,Sales Executive,3,Single,5473,24668,7,Y,No,11,3,4,80,0,20,2,2,4,3,1,3
34,No,Travel_Rarely,665,Research & Development,6,4,Other,1,123,1,Female,41,3,2,Research Scientist,3,Single,4809,12482,1,Y,No,14,3,3,80,0,16,3,3,16,13,2,10
34,No,Travel_Frequently,135,Research & Development,19,3,Medical,1,124,3,Female,46,3,2,Laboratory Technician,2,Divorced,4444,22534,4,Y,No,13,3,3,80,2,15,2,4,11,8,5,10
38,No,Travel_Rarely,1261,Research & Development,2,4,Life Sciences,1,125,4,Male,88,3,2,Manufacturing Director,3,Married,6553,7259,9,Y,No,14,3,2,80,0,14,3,3,1,0,0,0
41,No,Travel_Rarely,802,Sales,9,1,Life Sciences,1,126,3,Male,96,3,3,Sales Executive,3,Divorced,8189,21196,3,Y,Yes,13,3,3,80,1,12,2,3,9,7,0,7
53,No,Travel_Rarely,1084,Research & Development,13,2,Medical,1,127,4,Female,57,4,2,Manufacturing Director,1,Divorced,4450,26250,1,Y,No,11,3,3,80,2,5,3,3,4,2,1,3
32,No,Travel_Rarely,267,Research & Development,29,4,Life Sciences,1,128,3,Female,49,2,1,Laboratory Technician,2,Single,2837,15919,1,Y,No,13,3,3,80,0,6,3,3,6,2,4,1
32,No,Travel_Rarely,588,Sales,8,2,Technical Degree,1,129,3,Female,65,2,2,Sales Executive,2,Married,5228,24624,1,Y,Yes,11,3,4,80,0,13,2,3,13,12,11,9
22,No,Travel_Rarely,1136,Research & Development,5,3,Life Sciences,1,130,4,Male,60,4,1,Research Scientist,2,Divorced,2328,12392,1,Y,Yes,16,3,1,80,1,4,2,2,4,2,2,2
33,No,Travel_Frequently,508,Sales,10,3,Marketing,1,131,2,Male,46,2,2,Sales Executive,4,Single,4682,4317,3,Y,No,14,3,3,80,0,9,6,2,7,7,0,1
34,No,Non-Travel,697,Research & Development,3,4,Life Sciences,1,132,3,Male,40,2,1,Research Scientist,4,Married,2979,22478,3,Y,No,17,3,4,80,3,6,2,3,0,0,0,0
29,No,Travel_Rarely,136,Research & Development,1,3,Life Sciences,1,133,1,Male,89,3,2,Healthcare Representative,1,Married,5373,6225,0,Y,No,12,3,1,80,1,6,5,2,5,3,0,2
28,No,Travel_Rarely,1117,Research & Development,8,2,Life Sciences,1,134,4,Female,66,3,1,Research Scientist,4,Single,3310,4488,1,Y,No,21,4,4,80,0,5,3,3,5,3,0,2
58,No,Travel_Rarely,605,Sales,21,3,Life Sciences,1,135,4,Female,72,3,4,Manager,4,Married,17875,11761,4,Y,Yes,13,3,3,80,1,29,2,2,1,0,0,0
50,No,Travel_Rarely,1322,Research & Development,28,3,Life Sciences,1,136,4,Female,43,3,4,Research Director,1,Married,16880,22422,4,Y,Yes,11,3,2,80,0,25,2,3,3,2,1,2
36,No,Travel_Rarely,913,Research & Development,9,2,Medical,1,137,2,Male,48,2,2,Manufacturing Director,2,Divorced,8847,13934,2,Y,Yes,11,3,3,80,1,13,2,3,3,2,0,2
50,No,Travel_Rarely,1046,Research & Development,10,3,Technical Degree,1,138,4,Male,100,2,3,Healthcare Representative,4,Single,10496,2755,6,Y,No,15,3,4,80,0,20,2,3,4,3,1,3
37,No,Travel_Rarely,482,Research & Development,3,3,Other,1,139,3,Male,36,3,3,Manufacturing Director,3,Married,9434,9606,1,Y,No,15,3,3,80,1,10,2,3,10,7,7,8
25,No,Travel_Rarely,883,Sales,26,1,Medical,1,140,3,Female,32,3,2,Sales Executive,4,Single,6180,22807,1,Y,No,23,4,2,80,0,6,5,2,6,5,1,4
